Logging to: /home/nitish/Documents/AIF_code/Active-Inference/Symbolic_AIF_v6/habitat_adapter/../results/demo_20260622_130928.txt

Device : cuda
Loading WorldModelV6 (Faster R-CNN + EKF)... OK  (248,064 learnable params)
Starting Habitat-Sim... OK

Start pose (V6) : (2.02, -0.94, 0.0°)
Goal  (V6)      : (-3.15, -5.36)
Geodesic dist   : infm

Step |  Action |               Pose (x, y, θ) | GoalDist | Dets | Slots |     ms
  75 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  76 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  77 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  78 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43
  79 |  TURN_R | ( -1.69,  -6.34, 180.0°) |    1.758m |    0 |     4 |     43
  80 |  TURN_L | ( -1.69,  -6.34, 120.0°) |    1.758m |    0 |     4 |     43

================================================================================
  Result          : TIMEOUT / NOT REACHED
  Steps taken     : 80
  Final goal dist : 1.758m
  Mean ms/step    : 49 ms
================================================================================
