Logging to: /home/nitish/Documents/AIF_code/Active-Inference/Symbolic_AIF_v6/habitat_adapter/../results/demo_20260622_143513.txt

Device : cuda
Loading WorldModelV6 (Faster R-CNN + EKF)... OK  (248,064 learnable params)
Starting Habitat-Sim... OK

Start pose (V6) : (2.02, -0.94, 0.0°)
Goal  (V6)      : (-5.02, -0.11)
Geodesic dist   : infm

Step |  Action |               Pose (x, y, θ) | GoalDist | Dets | Slots |     ms
  45 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    102
  46 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    117
  47 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    108
  48 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    102
  49 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    117
  50 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    108
  51 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    101
  52 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    118
  53 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    108
  54 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    101
  55 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    117
  56 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    102
  57 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    107
  58 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    117
  59 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |     99
  60 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    109
  61 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    117
  62 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |     95
  63 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |     99
  64 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    129
  65 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |     96
  66 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    114
  67 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    118
  68 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |     95
  69 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |     96
  70 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    133
  71 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |     94
  72 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    100
  73 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    134
  74 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |     95
  75 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    115
  76 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    118
  77 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |     98
  78 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    113
  79 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    118
  80 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    108

================================================================================
  Result          : TIMEOUT / NOT REACHED
  Steps taken     : 80
  Final goal dist : 1.359m
  Mean ms/step    : 115 ms
================================================================================
